AT (C),BEN (ug/m3),BP (mBar),BP (mmHG),CH4 (ppm),CO (ppm),Date,Eth (ug/m3),H2S (ppb),NO (ppb),NO2 (ppb),NO2 (ppm),NOX (ppb),NOx (ppb),NRAD (w/m2),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),RAIN (m/s),RAIN (mm),RH (%),Rain (mm),SD (Degree),SD (w/m2),SO2 (ppb),SOLAR (w/m2),SRAD (w/m2),ST (ppb),TEMP (C),TEMP (Degree),THC (ppm),THCNM (ppm),TNMHC (ppm),TOL (ug/m3),Temp (C),WD (Degree),WD_S (Degree),WS (m/s),WS_S (m/s),mpXy (ug/m3),oXyl (ug/m3),station
,,,757.53,,0.65,2019-01-01 00:00:00,,,-,-,,-,,-31.84,11,63,,,0.00,54.52,,44.83,,1,,-0.20,,26.10,,,,,,,106.87,,0.45,,,,02t
,,,757.53,,0.65,2019-01-01 00:00:00,,,-,-,,-,,-31.84,11,63,,,0.00,54.52,,44.83,,1,,-0.20,,26.10,,,,,,,106.87,,0.45,,,,02t
,,,757.30,,0.61,2019-01-01 01:00:00,,,-,-,,-,,-32.24,7,65,,,0.00,56.02,,55.62,,1,,0.11,,26.00,,,,,,,76.68,,0.25,,,,02t
,,,757.30,,0.61,2019-01-01 01:00:00,,,-,-,,-,,-32.24,7,65,,,0.00,56.02,,55.62,,1,,0.11,,26.00,,,,,,,76.68,,0.25,,,,02t
,,,756.87,,0.69,2019-01-01 02:00:00,,,-,-,,-,,-32.75,3,53,,,0.00,59.04,,61.14,,1,,-0.02,,25.49,,,,,,,107.30,,0.14,,,,02t
,,,756.87,,0.69,2019-01-01 02:00:00,,,-,-,,-,,-32.75,3,53,,,0.00,59.04,,61.14,,1,,-0.02,,25.49,,,,,,,107.30,,0.14,,,,02t
,,,756.76,,0.46,2019-01-01 03:00:00,,,-,-,,-,,-33.68,12,54,,,0.00,53.53,,48.23,,1,,0.08,,25.09,,,,,,,101.44,,0.22,,,,02t
,,,756.76,,0.46,2019-01-01 03:00:00,,,-,-,,-,,-33.68,12,54,,,0.00,53.53,,48.23,,1,,0.08,,25.09,,,,,,,101.44,,0.22,,,,02t
,,,756.87,,0.57,2019-01-01 04:00:00,,,-,-,,-,,-33.63,2,39,,,0.00,58.54,,49.80,,1,,-0.55,,24.60,,,,,,,60.79,,0.18,,,,02t
,,,756.87,,0.57,2019-01-01 04:00:00,,,-,-,,-,,-33.63,2,39,,,0.00,58.54,,49.80,,1,,-0.55,,24.60,,,,,,,60.79,,0.18,,,,02t
,,,757.12,,0.60,2019-01-01 05:00:00,,,-,-,,-,,-33.16,1,46,,,0.00,58.54,,44.61,,1,,-0.35,,24.15,,,,,,,58.26,,0.31,,,,02t
,,,757.12,,0.60,2019-01-01 05:00:00,,,-,-,,-,,-33.16,1,46,,,0.00,58.54,,44.61,,1,,-0.35,,24.15,,,,,,,58.26,,0.31,,,,02t
,,,757.75,,0.55,2019-01-01 06:00:00,,,-,-,,-,,-30.13,3,45,,,0.00,57.75,,36.58,,1,,2.06,,23.82,,,,,,,30.48,,0.29,,,,02t
,,,757.75,,0.55,2019-01-01 06:00:00,,,-,-,,-,,-30.13,3,45,,,0.00,57.75,,36.58,,1,,2.06,,23.82,,,,,,,30.48,,0.29,,,,02t
,,,758.57,,0.49,2019-01-01 07:00:00,,,-,-,,-,,-14.61,4,39,,,0.00,55.69,,37.84,,1,,15.97,,23.68,,,,,,,50.61,,1.00,,,,02t
,,,758.57,,0.49,2019-01-01 07:00:00,,,-,-,,-,,-14.61,4,39,,,0.00,55.69,,37.84,,1,,15.97,,23.68,,,,,,,50.61,,1.00,,,,02t
,,,759.02,,0.47,2019-01-01 08:00:00,,,-,-,,-,,39.41,5,41,,,0.00,54.56,,41.27,,1,,57.19,,24.19,,,,,,,43.60,,1.08,,,,02t
,,,759.02,,0.47,2019-01-01 08:00:00,,,-,-,,-,,39.41,5,41,,,0.00,54.56,,41.27,,1,,57.19,,24.19,,,,,,,43.60,,1.08,,,,02t
,,,759.26,,0.44,2019-01-01 09:00:00,,,-,-,,-,,120.00,8,45,,,0.00,53.11,,50.29,,1,,108.63,,25.43,,,,,,,59.29,,0.57,,,,02t
,,,759.26,,0.44,2019-01-01 09:00:00,,,-,-,,-,,120.00,8,45,,,0.00,53.11,,50.29,,1,,108.63,,25.43,,,,,,,59.29,,0.57,,,,02t
,,,758.91,,0.28,2019-01-01 10:00:00,,,-,-,,-,,361.10,14,49,,,0.00,48.95,,49.71,,1,,135.42,,27.21,,,,,,,14.58,,0.82,,,,02t
,,,758.91,,0.28,2019-01-01 10:00:00,,,-,-,,-,,361.10,14,49,,,0.00,48.95,,49.71,,1,,135.42,,27.21,,,,,,,14.58,,0.82,,,,02t
,,,758.08,,0.19,2019-01-01 11:00:00,,,-,-,,-,,570.26,18,45,,,0.00,44.25,,45.94,,2,,616.26,,28.55,,,,,,,19.71,,1.13,,,,02t
,,,758.08,,0.19,2019-01-01 11:00:00,,,-,-,,-,,570.26,18,45,,,0.00,44.25,,45.94,,2,,616.26,,28.55,,,,,,,19.71,,1.13,,,,02t
,,,756.97,,0.13,2019-01-01 12:00:00,,,-,-,,-,,571.61,21,41,,,0.00,42.48,,40.97,,2,,675.86,,29.35,,,,,,,12.08,,1.69,,,,02t
,,,756.97,,0.13,2019-01-01 12:00:00,,,-,-,,-,,571.61,21,41,,,0.00,42.48,,40.97,,2,,675.86,,29.35,,,,,,,12.08,,1.69,,,,02t
,,,755.99,,0.07,2019-01-01 13:00:00,,,-,-,,-,,573.28,24,42,,,0.00,42.17,,37.65,,2,,700.80,,29.76,,,,,,,356.33,,1.93,,,,02t
,,,755.99,,0.07,2019-01-01 13:00:00,,,-,-,,-,,573.28,24,42,,,0.00,42.17,,37.65,,2,,700.80,,29.76,,,,,,,356.33,,1.93,,,,02t
,,,755.06,,0.03,2019-01-01 14:00:00,,,-,-,,-,,461.25,37,44,,,0.00,40.97,,38.27,,2,,574.65,,30.01,,,,,,,29.42,,1.63,,,,02t
,,,755.06,,0.03,2019-01-01 14:00:00,,,-,-,,-,,461.25,37,44,,,0.00,40.97,,38.27,,2,,574.65,,30.01,,,,,,,29.42,,1.63,,,,02t
,,,754.75,,0.06,2019-01-01 15:00:00,,,-,-,,-,,302.28,47,44,,,0.00,40.49,,35.21,,2,,395.27,,30.04,,,,,,,14.66,,1.87,,,,02t
,,,754.75,,0.06,2019-01-01 15:00:00,,,-,-,,-,,302.28,47,44,,,0.00,40.49,,35.21,,2,,395.27,,30.04,,,,,,,14.66,,1.87,,,,02t
,,,754.95,,0.11,2019-01-01 16:00:00,,,-,-,,-,,36.86,51,39,,,0.00,42.31,,42.56,,1,,85.66,,29.38,,,,,,,31.09,,1.28,,,,02t
,,,754.95,,0.11,2019-01-01 16:00:00,,,-,-,,-,,36.86,51,39,,,0.00,42.31,,42.56,,1,,85.66,,29.38,,,,,,,31.09,,1.28,,,,02t
,,,755.48,,0.17,2019-01-01 17:00:00,,,-,-,,-,,-12.31,44,31,,,0.00,46.47,,34.04,,1,,27.75,,28.49,,,,,,,6.70,,1.32,,,,02t
,,,755.48,,0.17,2019-01-01 17:00:00,,,-,-,,-,,-12.31,44,31,,,0.00,46.47,,34.04,,1,,27.75,,28.49,,,,,,,6.70,,1.32,,,,02t
,,,756.03,,0.33,2019-01-01 18:00:00,,,-,-,,-,,-36.15,29,31,,,0.00,48.67,,28.76,,1,,0.11,,27.68,,,,,,,1.08,,0.85,,,,02t
,,,756.03,,0.33,2019-01-01 18:00:00,,,-,-,,-,,-36.15,29,31,,,0.00,48.67,,28.76,,1,,0.11,,27.68,,,,,,,1.08,,0.85,,,,02t
,,,756.55,,0.59,2019-01-01 19:00:00,,,-,-,,-,,-36.83,16,36,,,0.00,51.41,,32.31,,1,,-0.45,,27.09,,,,,,,311.51,,0.54,,,,02t
,,,756.55,,0.59,2019-01-01 19:00:00,,,-,-,,-,,-36.83,16,36,,,0.00,51.41,,32.31,,1,,-0.45,,27.09,,,,,,,311.51,,0.54,,,,02t
,,,756.87,,-,2019-01-01 20:00:00,,,-,-,,-,,-36.74,7,57,,,0.00,57.14,,19.59,,-,,-0.08,,26.40,,,,,,,292.49,,0.43,,,,02t
,,,756.87,,-,2019-01-01 20:00:00,,,-,-,,-,,-36.74,7,57,,,0.00,57.14,,19.59,,-,,-0.08,,26.40,,,,,,,292.49,,0.43,,,,02t
,,,756.90,,0.75,2019-01-01 21:00:00,,,-,-,,-,,-35.88,-,58,,,0.00,58.80,,57.75,,1,,-0.06,,25.91,,,,,,,7.90,,0.14,,,,02t
,,,756.90,,0.75,2019-01-01 21:00:00,,,-,-,,-,,-35.88,-,58,,,0.00,58.80,,57.75,,1,,-0.06,,25.91,,,,,,,7.90,,0.14,,,,02t
,,,757.06,,0.73,2019-01-01 22:00:00,,,-,-,,-,,-36.09,3,53,,,0.00,57.66,,51.08,,1,,0.25,,25.79,,,,,,,51.81,,0.22,,,,02t
,,,757.06,,0.73,2019-01-01 22:00:00,,,-,-,,-,,-36.09,3,53,,,0.00,57.66,,51.08,,1,,0.25,,25.79,,,,,,,51.81,,0.22,,,,02t
,,,756.83,,0.92,2019-01-01 23:00:00,,,-,-,,-,,-36.07,1,58,,,0.00,61.61,,70.81,,1,,-0.41,,25.23,,,,,,,256.27,,0.08,,,,02t
,,,756.83,,0.92,2019-01-01 23:00:00,,,-,-,,-,,-36.07,1,58,,,0.00,61.61,,70.81,,1,,-0.41,,25.23,,,,,,,256.27,,0.08,,,,02t
,,,756.84,,0.89,2019-01-02 00:00:00,,,-,-,,-,,-33.51,1,55,,,0.00,62.79,,29.56,,1,,0.17,,24.76,,,,,,,287.41,,0.26,,,,02t
,,,756.84,,0.89,2019-01-02 00:00:00,,,-,-,,-,,-33.51,1,55,,,0.00,62.79,,29.56,,1,,0.17,,24.76,,,,,,,287.41,,0.26,,,,02t
,,,756.66,,0.82,2019-01-02 01:00:00,,,-,-,,-,,-31.67,1,59,,,0.00,63.17,,47.58,,1,,0.30,,24.33,,,,,,,343.26,,0.19,,,,02t
,,,756.66,,0.82,2019-01-02 01:00:00,,,-,-,,-,,-31.67,1,59,,,0.00,63.17,,47.58,,1,,0.30,,24.33,,,,,,,343.26,,0.19,,,,02t
,,,756.16,,0.69,2019-01-02 02:00:00,,,-,-,,-,,-31.83,1,48,,,0.00,62.30,,62.83,,1,,-0.08,,24.27,,,,,,,331.60,,0.12,,,,02t
,,,756.16,,0.69,2019-01-02 02:00:00,,,-,-,,-,,-31.83,1,48,,,0.00,62.30,,62.83,,1,,-0.08,,24.27,,,,,,,331.60,,0.12,,,,02t
,,,756.02,,0.68,2019-01-02 03:00:00,,,-,-,,-,,-33.86,1,55,,,0.00,63.97,,51.06,,1,,-0.56,,23.87,,,,,,,325.79,,0.18,,,,02t
,,,756.02,,0.68,2019-01-02 03:00:00,,,-,-,,-,,-33.86,1,55,,,0.00,63.97,,51.06,,1,,-0.56,,23.87,,,,,,,325.79,,0.18,,,,02t
,,,756.03,,0.50,2019-01-02 04:00:00,,,-,-,,-,,-31.78,2,51,,,0.00,60.49,,32.47,,1,,-0.27,,23.65,,,,,,,23.44,,0.58,,,,02t
,,,756.03,,0.50,2019-01-02 04:00:00,,,-,-,,-,,-31.78,2,51,,,0.00,60.49,,32.47,,1,,-0.27,,23.65,,,,,,,23.44,,0.58,,,,02t
,,,756.34,,0.46,2019-01-02 05:00:00,,,-,-,,-,,-31.17,4,44,,,0.00,58.58,,27.36,,1,,-0.03,,23.62,,,,,,,25.71,,0.93,,,,02t
,,,756.34,,0.46,2019-01-02 05:00:00,,,-,-,,-,,-31.17,4,44,,,0.00,58.58,,27.36,,1,,-0.03,,23.62,,,,,,,25.71,,0.93,,,,02t
,,,756.76,,0.53,2019-01-02 06:00:00,,,-,-,,-,,-28.33,4,37,,,0.00,58.14,,32.06,,1,,3.01,,23.41,,,,,,,24.83,,1.25,,,,02t
,,,756.76,,0.53,2019-01-02 06:00:00,,,-,-,,-,,-28.33,4,37,,,0.00,58.14,,32.06,,1,,3.01,,23.41,,,,,,,24.83,,1.25,,,,02t
,,,757.43,,0.70,2019-01-02 07:00:00,,,-,-,,-,,-2.71,4,40,,,0.00,58.55,,32.67,,1,,30.93,,23.28,,,,,,,30.16,,1.63,,,,02t
,,,757.43,,0.70,2019-01-02 07:00:00,,,-,-,,-,,-2.71,4,40,,,0.00,58.55,,32.67,,1,,30.93,,23.28,,,,,,,30.16,,1.63,,,,02t
,,,757.95,,0.74,2019-01-02 08:00:00,,,-,-,,-,,60.17,6,35,,,0.00,56.05,,45.93,,1,,79.37,,24.01,,,,,,,38.93,,1.23,,,,02t
,,,757.95,,0.74,2019-01-02 08:00:00,,,-,-,,-,,60.17,6,35,,,0.00,56.05,,45.93,,1,,79.37,,24.01,,,,,,,38.93,,1.23,,,,02t
,,,758.18,,0.46,2019-01-02 09:00:00,,,-,-,,-,,171.04,9,40,,,0.00,52.19,,38.37,,1,,149.79,,25.53,,,,,,,41.68,,1.43,,,,02t
,,,758.18,,0.46,2019-01-02 09:00:00,,,-,-,,-,,171.04,9,40,,,0.00,52.19,,38.37,,1,,149.79,,25.53,,,,,,,41.68,,1.43,,,,02t
,,,758.07,,0.32,2019-01-02 10:00:00,,,-,-,,-,,353.50,9,42,,,0.00,47.22,,49.65,,1,,135.03,,27.30,,,,,,,49.42,,1.07,,,,02t
,,,758.07,,0.32,2019-01-02 10:00:00,,,-,-,,-,,353.50,9,42,,,0.00,47.22,,49.65,,1,,135.03,,27.30,,,,,,,49.42,,1.07,,,,02t
,,,757.45,,0.16,2019-01-02 11:00:00,,,-,-,,-,,602.41,15,46,,,0.00,43.54,,44.40,,1,,644.55,,28.68,,,,,,,35.04,,1.23,,,,02t
,,,757.45,,0.16,2019-01-02 11:00:00,,,-,-,,-,,602.41,15,46,,,0.00,43.54,,44.40,,1,,644.55,,28.68,,,,,,,35.04,,1.23,,,,02t
,,,756.46,,0.17,2019-01-02 12:00:00,,,-,-,,-,,557.41,23,42,,,0.00,40.72,,38.95,,1,,663.63,,29.79,,,,,,,8.52,,1.24,,,,02t
,,,756.46,,0.17,2019-01-02 12:00:00,,,-,-,,-,,557.41,23,42,,,0.00,40.72,,38.95,,1,,663.63,,29.79,,,,,,,8.52,,1.24,,,,02t
,,,755.33,,0.15,2019-01-02 13:00:00,,,-,-,,-,,573.22,33,45,,,0.00,39.21,,42.07,,2,,707.12,,30.82,,,,,,,10.64,,1.41,,,,02t
,,,755.33,,0.15,2019-01-02 13:00:00,,,-,-,,-,,573.22,33,45,,,0.00,39.21,,42.07,,2,,707.12,,30.82,,,,,,,10.64,,1.41,,,,02t
,,,754.55,,0.16,2019-01-02 14:00:00,,,-,-,,-,,480.96,25,41,,,0.00,38.57,,38.63,,2,,607.39,,30.79,,,,,,,5.43,,1.70,,,,02t
,,,754.55,,0.16,2019-01-02 14:00:00,,,-,-,,-,,480.96,25,41,,,0.00,38.57,,38.63,,2,,607.39,,30.79,,,,,,,5.43,,1.70,,,,02t
,,,754.24,,0.03,2019-01-02 15:00:00,,,-,-,,-,,395.52,43,-,,,0.00,37.85,,42.62,,2,,506.64,,31.03,,,,,,,15.12,,1.67,,,,02t
,,,754.24,,0.03,2019-01-02 15:00:00,,,-,-,,-,,395.52,43,-,,,0.00,37.85,,42.62,,2,,506.64,,31.03,,,,,,,15.12,,1.67,,,,02t
,,,754.78,,0.01,2019-01-02 16:00:00,,,-,-,,-,,156.45,54,-,,,0.00,38.63,,33.14,,1,,244.42,,30.50,,,,,,,16.95,,1.80,,,,02t
,,,754.78,,0.01,2019-01-02 16:00:00,,,-,-,,-,,156.45,54,-,,,0.00,38.63,,33.14,,1,,244.42,,30.50,,,,,,,16.95,,1.80,,,,02t
,,,755.39,,0.14,2019-01-02 17:00:00,,,-,-,,-,,-4.30,52,57,,,0.00,40.86,,36.90,,1,,36.13,,29.74,,,,,,,4.39,,1.29,,,,02t
,,,755.39,,0.14,2019-01-02 17:00:00,,,-,-,,-,,-4.30,52,57,,,0.00,40.86,,36.90,,1,,36.13,,29.74,,,,,,,4.39,,1.29,,,,02t
,,,755.94,,0.26,2019-01-02 18:00:00,,,-,-,,-,,-33.72,37,52,,,0.00,44.41,,34.67,,1,,-0.34,,28.82,,,,,,,356.69,,1.10,,,,02t
,,,755.94,,0.26,2019-01-02 18:00:00,,,-,-,,-,,-33.72,37,52,,,0.00,44.41,,34.67,,1,,-0.34,,28.82,,,,,,,356.69,,1.10,,,,02t
,,,756.43,,-,2019-01-02 19:00:00,,,-,-,,-,,-35.70,21,29,,,0.00,47.79,,34.01,,-,,-0.57,,28.10,,,,,,,330.97,,0.35,,,,02t
,,,756.43,,-,2019-01-02 19:00:00,,,-,-,,-,,-35.70,21,29,,,0.00,47.79,,34.01,,-,,-0.57,,28.10,,,,,,,330.97,,0.35,,,,02t
,,,756.86,,0.62,2019-01-02 20:00:00,,,-,-,,-,,-35.83,-,37,,,0.00,52.18,,18.17,,1,,-0.33,,27.38,,,,,,,278.36,,0.25,,,,02t
,,,756.86,,0.62,2019-01-02 20:00:00,,,-,-,,-,,-35.83,-,37,,,0.00,52.18,,18.17,,1,,-0.33,,27.38,,,,,,,278.36,,0.25,,,,02t
,,,756.99,,0.77,2019-01-02 21:00:00,,,-,-,,-,,-33.24,8,52,,,0.00,55.50,,20.61,,1,,-0.04,,26.75,,,,,,,289.93,,0.27,,,,02t
,,,756.99,,0.77,2019-01-02 21:00:00,,,-,-,,-,,-33.24,8,52,,,0.00,55.50,,20.61,,1,,-0.04,,26.75,,,,,,,289.93,,0.27,,,,02t
,,,757.02,,0.74,2019-01-02 22:00:00,,,-,-,,-,,-32.25,5,72,,,0.00,57.35,,42.41,,1,,0.36,,26.25,,,,,,,323.15,,0.21,,,,02t
,,,757.02,,0.74,2019-01-02 22:00:00,,,-,-,,-,,-32.25,5,72,,,0.00,57.35,,42.41,,1,,0.36,,26.25,,,,,,,323.15,,0.21,,,,02t
,,,757.04,,0.61,2019-01-02 23:00:00,,,-,-,,-,,-30.11,7,52,,,0.00,57.10,,50.96,,1,,0.14,,25.96,,,,,,,27.63,,0.17,,,,02t
,,,757.04,,0.61,2019-01-02 23:00:00,,,-,-,,-,,-30.11,7,52,,,0.00,57.10,,50.96,,1,,0.14,,25.96,,,,,,,27.63,,0.17,,,,02t
,,,756.95,,0.63,2019-01-03 00:00:00,,,-,-,,-,,-31.94,4,56,,,0.00,56.80,,65.63,,1,,0.13,,25.64,,,,,,,38.11,,0.10,,,,02t
,,,756.95,,0.63,2019-01-03 00:00:00,,,-,-,,-,,-31.94,4,56,,,0.00,56.80,,65.63,,1,,0.13,,25.64,,,,,,,38.11,,0.10,,,,02t
,,,756.51,,0.61,2019-01-03 01:00:00,,,-,-,,-,,-35.50,5,43,,,0.00,54.06,,46.72,,1,,0.12,,25.53,,,,,,,314.34,,0.40,,,,02t
,,,756.51,,0.61,2019-01-03 01:00:00,,,-,-,,-,,-35.50,5,43,,,0.00,54.06,,46.72,,1,,0.12,,25.53,,,,,,,314.34,,0.40,,,,02t
,,,755.94,,0.67,2019-01-03 02:00:00,,,-,-,,-,,-32.63,4,50,,,0.00,61.06,,24.05,,1,,0.03,,24.53,,,,,,,317.09,,0.54,,,,02t
,,,755.94,,0.67,2019-01-03 02:00:00,,,-,-,,-,,-32.63,4,50,,,0.00,61.06,,24.05,,1,,0.03,,24.53,,,,,,,317.09,,0.54,,,,02t
,,,755.64,,0.70,2019-01-03 03:00:00,,,-,-,,-,,-30.51,5,44,,,0.00,60.60,,29.99,,1,,-0.07,,24.23,,,,,,,343.27,,0.64,,,,02t
,,,755.64,,0.70,2019-01-03 03:00:00,,,-,-,,-,,-30.51,5,44,,,0.00,60.60,,29.99,,1,,-0.07,,24.23,,,,,,,343.27,,0.64,,,,02t
,,,755.81,,0.68,2019-01-03 04:00:00,,,-,-,,-,,-27.31,6,56,,,0.00,60.81,,25.70,,1,,-0.16,,24.02,,,,,,,3.13,,0.49,,,,02t
,,,755.81,,0.68,2019-01-03 04:00:00,,,-,-,,-,,-27.31,6,56,,,0.00,60.81,,25.70,,1,,-0.16,,24.02,,,,,,,3.13,,0.49,,,,02t
,,,756.23,,0.69,2019-01-03 05:00:00,,,-,-,,-,,-24.38,5,51,,,0.00,60.11,,35.49,,1,,0.01,,23.89,,,,,,,22.53,,0.61,,,,02t
,,,756.23,,0.69,2019-01-03 05:00:00,,,-,-,,-,,-24.38,5,51,,,0.00,60.11,,35.49,,1,,0.01,,23.89,,,,,,,22.53,,0.61,,,,02t
,,,756.86,,0.79,2019-01-03 06:00:00,,,-,-,,-,,-19.79,2,49,,,0.00,59.95,,34.53,,1,,2.61,,23.78,,,,,,,38.20,,0.35,,,,02t
,,,756.86,,0.79,2019-01-03 06:00:00,,,-,-,,-,,-19.79,2,49,,,0.00,59.95,,34.53,,1,,2.61,,23.78,,,,,,,38.20,,0.35,,,,02t
,,,757.46,,1.03,2019-01-03 07:00:00,,,-,-,,-,,28.95,1,42,,,0.00,58.93,,31.55,,1,,49.50,,24.11,,,,,,,9.62,,1.11,,,,02t
,,,757.46,,1.03,2019-01-03 07:00:00,,,-,-,,-,,28.95,1,42,,,0.00,58.93,,31.55,,1,,49.50,,24.11,,,,,,,9.62,,1.11,,,,02t
,,,758.03,,0.99,2019-01-03 08:00:00,,,-,-,,-,,83.59,2,47,,,0.00,58.18,,29.71,,1,,108.17,,24.65,,,,,,,353.30,,1.27,,,,02t
,,,758.03,,0.99,2019-01-03 08:00:00,,,-,-,,-,,83.59,2,47,,,0.00,58.18,,29.71,,1,,108.17,,24.65,,,,,,,353.30,,1.27,,,,02t
,,,758.18,,0.61,2019-01-03 09:00:00,,,-,-,,-,,156.56,6,48,,,0.00,54.12,,33.43,,1,,184.44,,25.62,,,,,,,4.42,,1.75,,,,02t
,,,758.18,,0.61,2019-01-03 09:00:00,,,-,-,,-,,156.56,6,48,,,0.00,54.12,,33.43,,1,,184.44,,25.62,,,,,,,4.42,,1.75,,,,02t
,,,758.15,,0.39,2019-01-03 10:00:00,,,-,-,,-,,188.15,11,35,,,0.00,50.46,,36.58,,1,,226.23,,26.57,,,,,,,17.08,,1.89,,,,02t
,,,758.15,,0.39,2019-01-03 10:00:00,,,-,-,,-,,188.15,11,35,,,0.00,50.46,,36.58,,1,,226.23,,26.57,,,,,,,17.08,,1.89,,,,02t
,,,757.99,,0.31,2019-01-03 11:00:00,,,-,-,,-,,160.25,15,34,,,0.00,48.84,,34.49,,1,,204.08,,27.08,,,,,,,3.37,,2.05,,,,02t
,,,757.99,,0.31,2019-01-03 11:00:00,,,-,-,,-,,160.25,15,34,,,0.00,48.84,,34.49,,1,,204.08,,27.08,,,,,,,3.37,,2.05,,,,02t
,,,757.24,,0.31,2019-01-03 12:00:00,,,-,-,,-,,140.86,17,31,,,0.00,50.05,,35.80,,1,,182.83,,26.71,,,,,,,358.64,,2.27,,,,02t
,,,757.24,,0.31,2019-01-03 12:00:00,,,-,-,,-,,140.86,17,31,,,0.00,50.05,,35.80,,1,,182.83,,26.71,,,,,,,358.64,,2.27,,,,02t
,,,756.26,,0.40,2019-01-03 13:00:00,,,-,-,,-,,178.56,18,36,,,0.00,50.14,,34.44,,1,,221.27,,26.75,,,,,,,4.73,,2.26,,,,02t
,,,756.26,,0.40,2019-01-03 13:00:00,,,-,-,,-,,178.56,18,36,,,0.00,50.14,,34.44,,1,,221.27,,26.75,,,,,,,4.73,,2.26,,,,02t
,,,755.48,,0.26,2019-01-03 14:00:00,,,-,-,,-,,196.86,23,44,,,0.00,48.20,,32.33,,1,,240.59,,27.47,,,,,,,20.51,,2.11,,,,02t
,,,755.48,,0.26,2019-01-03 14:00:00,,,-,-,,-,,196.86,23,44,,,0.00,48.20,,32.33,,1,,240.59,,27.47,,,,,,,20.51,,2.11,,,,02t
,,,755.23,,0.29,2019-01-03 15:00:00,,,-,-,,-,,79.08,29,37,,,0.00,47.86,,34.39,,1,,105.76,,27.64,,,,,,,28.49,,1.79,,,,02t
,,,755.23,,0.29,2019-01-03 15:00:00,,,-,-,,-,,79.08,29,37,,,0.00,47.86,,34.39,,1,,105.76,,27.64,,,,,,,28.49,,1.79,,,,02t
,,,755.32,,0.38,2019-01-03 16:00:00,,,-,-,,-,,38.49,31,34,,,0.00,50.07,,38.36,,1,,59.04,,27.62,,,,,,,2.18,,1.48,,,,02t
,,,755.32,,0.38,2019-01-03 16:00:00,,,-,-,,-,,38.49,31,34,,,0.00,50.07,,38.36,,1,,59.04,,27.62,,,,,,,2.18,,1.48,,,,02t
,,,755.65,,0.54,2019-01-03 17:00:00,,,-,-,,-,,-5.55,27,37,,,0.00,51.74,,33.35,,1,,9.36,,27.40,,,,,,,342.84,,1.11,,,,02t
,,,755.65,,0.54,2019-01-03 17:00:00,,,-,-,,-,,-5.55,27,37,,,0.00,51.74,,33.35,,1,,9.36,,27.40,,,,,,,342.84,,1.11,,,,02t
,,,756.14,,-,2019-01-03 18:00:00,,,-,-,,-,,-13.51,22,39,,,0.00,52.33,,24.86,,-,,-0.09,,27.13,,,,,,,28.65,,1.51,,,,02t
,,,756.14,,-,2019-01-03 18:00:00,,,-,-,,-,,-13.51,22,39,,,0.00,52.33,,24.86,,-,,-0.09,,27.13,,,,,,,28.65,,1.51,,,,02t
,,,756.65,,0.77,2019-01-03 19:00:00,,,-,-,,-,,-13.30,-,37,,,0.00,53.79,,35.78,,1,,-0.16,,27.10,,,,,,,42.74,,0.39,,,,02t
,,,756.65,,0.77,2019-01-03 19:00:00,,,-,-,,-,,-13.30,-,37,,,0.00,53.79,,35.78,,1,,-0.16,,27.10,,,,,,,42.74,,0.39,,,,02t
,,,756.78,,0.79,2019-01-03 20:00:00,,,-,-,,-,,-12.43,3,48,,,0.00,52.59,,28.69,,1,,-0.24,,27.13,,,,,,,34.13,,0.65,,,,02t
,,,756.78,,0.79,2019-01-03 20:00:00,,,-,-,,-,,-12.43,3,48,,,0.00,52.59,,28.69,,1,,-0.24,,27.13,,,,,,,34.13,,0.65,,,,02t
,,,756.67,,0.77,2019-01-03 21:00:00,,,-,-,,-,,-14.25,1,49,,,0.00,50.43,,41.03,,1,,-0.14,,27.23,,,,,,,49.68,,0.66,,,,02t
,,,756.67,,0.77,2019-01-03 21:00:00,,,-,-,,-,,-14.25,1,49,,,0.00,50.43,,41.03,,1,,-0.14,,27.23,,,,,,,49.68,,0.66,,,,02t
,,,756.52,,0.73,2019-01-03 22:00:00,,,-,-,,-,,-18.00,1,54,,,0.00,49.83,,50.64,,1,,0.04,,27.12,,,,,,,49.34,,0.33,,,,02t
,,,756.52,,0.73,2019-01-03 22:00:00,,,-,-,,-,,-18.00,1,54,,,0.00,49.83,,50.64,,1,,0.04,,27.12,,,,,,,49.34,,0.33,,,,02t
,,,756.25,,0.88,2019-01-03 23:00:00,,,-,-,,-,,-21.49,1,49,,,0.00,57.08,,63.53,,1,,-0.03,,26.29,,,,,,,157.59,,0.11,,,,02t
,,,756.25,,0.88,2019-01-03 23:00:00,,,-,-,,-,,-21.49,1,49,,,0.00,57.08,,63.53,,1,,-0.03,,26.29,,,,,,,157.59,,0.11,,,,02t
,,,755.84,,0.87,2019-01-04 00:00:00,,,-,-,,-,,-16.60,1,51,,,0.00,60.81,,66.96,,1,,-0.06,,25.85,,,,,,,305.70,,0.09,,,,02t
,,,755.84,,0.87,2019-01-04 00:00:00,,,-,-,,-,,-16.60,1,51,,,0.00,60.81,,66.96,,1,,-0.06,,25.85,,,,,,,305.70,,0.09,,,,02t
,,,755.52,,0.76,2019-01-04 01:00:00,,,-,-,,-,,-14.48,1,61,,,0.00,59.27,,59.12,,1,,0.00,,25.76,,,,,,,356.21,,0.16,,,,02t
