lastupdate.aqi.level,lastupdate.aqi.aqi,lastupdate.co.unit,lastupdate.co.value,lastupdate.no2.unit,lastupdate.no2.value,lastupdate.o3.unit,lastupdate.o3.value,lastupdate.pm10.unit,lastupdate.pm10.value,lastupdate.pm25.unit,lastupdate.pm25.value,lastupdate.so2.unit,lastupdate.so2.value,lastupdate.date,lastupdate.time,areaen,areath,lat,long,nameen,nameth,stationid,stationtype
3,59,ppm,0.46,ppb,12,ppb,11,µg/m³,59,µg/m³,40,ppb,1,2/9/2019,9:00,"Ban Nuea, Mueang, Kanchanaburi","ต.บ้านเหนือ อ.เมือง, จ.กาญจนบุรี",14.022425,99.536118,Kanchanaburi Meteorological Station,สถานีอุตุนิยมวิทยา จ.กาญจนบุรี,79t,GROUND
5,203,ppm,1.21,ppb,28,ppb,22,µg/m³,146,µg/m³,93,ppb,3,2/9/2019,9:00,"Nai Mueang, Mueang, Khon Kaen","ต.ในเมือง, อ.เมือง, ขอนแก่น",16.445329,102.835251,Hydrogeological Group Water Resources Regional Office4 khonkaen,ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาคที่4 ขอนแก่น,46t,GROUND
1,22,ppm,N/A,ppb,8,ppb,4,µg/m³,44,µg/m³,N/A,ppb,2,2/9/2019,9:00,"Wang Yen, Plaeng Yao, Chachoengsao","ต.วังเย็น, อ.แปลงยาว, ฉะเชิงเทรา",13.588554,101.286359,Municipality Office Tungsadao,สำนักงานเทศบาลตำบลทุ่งสะเดา,60t,GROUND
1,18,ppm,N/A,ppb,7,ppb,7,µg/m³,35,µg/m³,18,ppb,0,2/9/2019,9:00,"Thung Sukhla, Si Racha, Chon buri","ต.ทุ่งสุขลา อ.ศรีราชา, ชลบุรี",13.119214,100.918596,Laem Chabang Municipal Stadium,สนามกีฬาเทศบาลแหลมฉบัง ,32t,GROUND
2,41,ppm,N/A,ppb,16,ppb,6,µg/m³,69,µg/m³,18,ppb,N/A,2/9/2019,9:00,"Bo Win, Si Racha, Chon buri","ต.บ่อวิน อ.ศรีราชา, จ.ชลบุรี",13.054551,101.098128,Health Promotion Hospital Bankhaohin,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาหิน,33t,GROUND
1,16,ppm,0.55,ppb,8,ppb,13,µg/m³,29,µg/m³,16,ppb,N/A,2/9/2019,9:00,"Ban Suan, Mueang, Chon Buri","ต.บ้านสวน,อ.เมือง, ชลบุรี",13.355065,100.977777,"Environment Agency Section 13, Chonburi",สำนักงานสิ่งแวดล้อมภาคที่ 13 ,34t,GROUND
4,101,ppm,0.34,ppb,6,ppb,7,µg/m³,84,µg/m³,51,ppb,N/A,2/9/2019,9:00,"MaePa, MaeSot, Tak","ต.แม่ปะ อ.แม่สอด, จ.ตาก",16.750102,98.591312,"Non-Formal Education Centre, Mea Sot",ศูนย์การศึกษานอกโรงเรียน,76t,GROUND
1,20,ppm,N/A,ppb,N/A,ppb,N/A,µg/m³,N/A,µg/m³,20,ppb,N/A,2/9/2019,8:00,"Mueang, Nakhon Pathom","ต.นครปฐม อ.เมืองนครปฐม, จ.นครปฐม",13.830333,100.053471,"Municipal waterworks, Nakhon Pathom",การประปาเทศบาลนครปฐม,m116,MOBILE
3,61,ppm,0.76,ppb,-,ppb,23,µg/m³,89,µg/m³,N/A,ppb,3,2/9/2019,9:00,"Nai Mueang, Mueang, Nakhon Ratchasima","ต.ในเมือง, อ.เมือง, นครราชสีมา",14.979726,102.098301,Municipal Waste Water Pumping Station,สถานีสูบน้ำประตูพลแสน,47t,GROUND
4,101,ppm,1.49,ppb,21,ppb,3,µg/m³,97,µg/m³,51,ppb,3,2/9/2019,9:00,"Pak Nam Pho, Mueang, Nakhon Sawan","ต.ปากน้ำโพ, อ.เมือง, นครสวรรค์",15.686254,100.110542,Nakhonsawan Irrigation Project ,โครงการชลประทานนครสวรรค์,41t,GROUND
1,18,ppm,0,ppb,0,ppb,0,µg/m³,33,µg/m³,18,ppb,0,2/9/2019,9:00,"Bang Krua, Bang Kruai, Nonthaburi","ต.บางกรวย, อ.บางกรวย, นนทบุรี",13.807156,100.506319,EGAT,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,13t,GROUND
1,21,ppm,0.21,ppb,10,ppb,1,µg/m³,41,µg/m³,N/A,ppb,-,2/9/2019,9:00,"Bang Phut, Pak Kret, Nonthaburi","ต.บางพูด, อ.ปากเกร็ด, นนทบุรี",13.90794,100.535599,Sukhothai Thammathirat Open University,มหาวิทยาลัยสุโขทัยธรรมาธิราช ,22t,GROUND
1,17,ppm,0.64,ppb,7,ppb,11,µg/m³,33,µg/m³,17,ppb,N/A,2/9/2019,9:00,"Bang Nak, Mueang, Narathiwat","ต.บางนาค อ.เมือง, นราธิวาส",6.426885,101.823005,"City Hall, Narathiwat",ศาลากลางจังหวัดนราธิวาส ,62t,GROUND
2,41,ppm,0.32,ppb,4,ppb,7,µg/m³,53,µg/m³,33,ppb,1,2/9/2019,9:00,"Nai Wiang, Mueang, Nan","ต.ในเวียง อ.เมือง, น่าน",18.788878,100.776359,"Municipality Office, Nan",สำนักงานเทศบาลเมืองน่าน,67t,GROUND
1,18,ppm,0.28,ppb,1,ppb,5,µg/m³,30,µg/m³,18,ppb,0,2/9/2019,9:00,"Huai Kon, Chaloem Phra Kiat, Nan","ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ, จ.น่าน",19.32238,101.025365,Chalermprakiet Hospital,โรงพยาบาลเฉลิมพระเกียรติ ,75t,GROUND
2,26,ppm,0.58,ppb,14,ppb,3,µg/m³,43,µg/m³,26,ppb,1,2/9/2019,9:00,"Khlong Nueng, Khlong Luang, Pathum Thani","ต.คลองหนึ่ง,อ.คลองหลวง, ปทุมธานี",14.037512,100.605124,Bangkok University Rangsit Campus,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต ,20t,GROUND
2,37,ppm,N/A,ppb,8,ppb,8,µg/m³,54,µg/m³,31,ppb,3,2/9/2019,9:00,"Tha Tum, SiMahaPhot, Prachin Buri","ต.ท่าตูม อ.ศรีมหาโพธิ, จ.ปราจีนบุรี",13.934197,101.58696,Bu Yai Bai Hall Station,ศาลาประชาคมบ้านบุยายใบ,77t,GROUND
2,32,ppm,0.12,ppb,0,ppb,1,µg/m³,58,µg/m³,27,ppb,1,2/9/2019,9:00,"Pratu Chai, Phra Nakhon Si Ayutthaya","ต.ประตูชัย, อ.พระนครศรีอยุธยา, พระนครศรีอยุธยา",14.352225,100.565352,Ayutthaya Witthayalai School,โรงเรียนอยุธยาวิทยาลัย,21t,GROUND
2,43,ppm,0.3,ppb,13,ppb,-,µg/m³,58,µg/m³,34,ppb,1,2/9/2019,9:00,"Wiang, Meuang, Phayao","ต.เวียง อ.เมือง, พะเยา",19.163862,99.902715,"Knowledge Park, Phayao",อุทยานการเรียนรู้ องค์การบริหารส่วนจังหวัดพะเยา,70t,GROUND
